,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link,only_city,low,heigh,mean_money
59,Python交易开发工程师,企,36-48万,深圳,本科及以上,5年工作经验,投递后：1个工作日内反馈,2017年12月05日,盖威科技,计算机软件,100-499人,https://www.liepin.com/job/1910558113.shtml,深圳,36,48,42.0
60,HZSMCYF106python开发工程师,企,面议,杭州,统招本科,1年工作经验,投递后：2个工作日内反馈,2017年12月05日,杭州数美科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910511841.shtml,杭州,面议,面议,面议
61,高级Python开发工程师,企,24-48万,深圳,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月05日,深圳码隆科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910142713.shtml,深圳,24,48,36.0
62,高级Python工程師,企,22-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月05日,北京超萌国际文化有限公司,IT服务/系统集成,50-99人,https://www.liepin.com/job/197432628.shtml,北京,22,30,26.0
63,Python开发工程师,企,12-18万,深圳,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月05日,对酒当歌,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199618426.shtml,深圳,12,18,15.0
64,python开发工程师,企,7-10万,北京,大专及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月07日,北京红枣科技有限公司,计算机软件,50-99人,https://www.liepin.com/job/1911220771.shtml,北京,7,10,8.5
65,python开发工程师,企,面议,上海-浦东新区,本科及以上,经验不限,投递后：1个工作日内反馈,2017年12月07日,软通动力-GBG,IT服务/系统集成,10000人以上,https://www.liepin.com/job/1910537698.shtml,上海,面议,面议,面议
66,java或python高级开发,企,16-33万,广州,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月07日,广州虎牙信息科技有限公司,网络游戏,500-999人,https://www.liepin.com/job/1911228466.shtml,广州,16,33,24.5
67,Python开发工程师,企,24-36万,上海-浦东新区,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月07日,上海宏鹿信息技术服务有限公司,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1911230599.shtml,上海,24,36,30.0
68,Python开发工程师,企,18-36万,上海-宝山区,学历不限,经验不限,投递后：5个工作日内反馈,2017年12月07日,亨得昂信息科技(上海)有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910555599.shtml,上海,18,36,27.0
69,高级Python开发工程师,企,21-42万,深圳,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年12月07日,深圳狗尾草智能科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198494420.shtml,深圳,21,42,31.5
70,Python Software Development Engineer,企,面议,北京,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年12月07日,江森自控,汽车/摩托车,10000人以上,https://www.liepin.com/job/1911223848.shtml,北京,面议,面议,面议
71,人工智能讲师（Python）,企,面议,上海,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年12月07日,容大教育,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1911223380.shtml,上海,面议,面议,面议
72,Python开发工程师,企,12-24万,上海,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月07日,博答企业管理咨询(上海)有限公司,专业服务(咨询/财会/法律/翻译等),100-499人,https://www.liepin.com/job/1910965940.shtml,上海,12,24,18.0
73,Python工程师,企,21-42万,上海-静安区,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年12月07日,深圳狗尾草智能科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198702917.shtml,上海,21,42,31.5
74,python开发工程师,企,12-24万,成都-高新区,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月07日,兰亭集势,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/198567282.shtml,成都,12,24,18.0
75,python开发工程师,企,18-29万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,北京原子钟信息科技有限公司,IT服务/系统集成,1-49人,https://www.liepin.com/job/199414256.shtml,北京,18,29,23.5
76,Python（高级&资深&leader）,企,22-42万,深圳,统招本科,3年工作经验,投递后：10个工作日内反馈,2017年12月04日,深圳市明源软件股份有限公司,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1910063096.shtml,深圳,22,42,32.0
77,Python中级研发工程师,企,17-28万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,中铁信科技,IT服务/系统集成,100-499人,https://www.liepin.com/job/199671965.shtml,北京,17,28,22.5
78,Python开发工程师,企,18-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,面包旅行,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910287946.shtml,北京,18,30,24.0
79,软件工程师（Perl/python/C++/java）,企,23-33万,上海,统招本科,4年工作经验,投递后：5个工作日内反馈,2017年12月04日,塔塔信息技术(中国)上海,IT服务/系统集成,1000-2000人,https://www.liepin.com/job/1911168399.shtml,上海,23,33,28.0
80,Python高级开发工程师,企,28-42万,北京-海淀区,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月04日,尚合远扬,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/195912472.shtml,北京,28,42,35.0
81,Python后端开发工程师,企,20-39万,北京,统招本科,2年工作经验,投递后：2个工作日内反馈,2017年12月04日,北京多禾聚元科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1911169737.shtml,北京,20,39,29.5
82,Python 服务器端工程师,企,6-11万,杭州-滨江区,统招本科,经验不限,投递后：2个工作日内反馈,2017年12月04日,杭州敏信科技有限公司,计算机软件,1-49人,https://www.liepin.com/job/1911094786.shtml,杭州,6,11,8.5
83,Python后端工程师（增值服务团队）,企,20-33万,上海,统招本科,1年工作经验,投递后：1个工作日内反馈,2017年12月04日,百姓网,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910801165.shtml,上海,20,33,26.5
84,高级PYTHON研发工程师,企,36-60万,北京,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月04日,劳动光荣科技(北京)有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/199238800.shtml,北京,36,60,48.0
85,Python软件工程师,企,12-18万,长沙-岳麓区,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月04日,长沙程超网络科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1911163353.shtml,长沙,12,18,15.0
86,高级Java/Python工程师,企,30-42万,北京,本科及以上,5年工作经验,投递后：5个工作日内反馈,2017年12月04日,北京博学慎思教育科技有限公司,教育/培训/学术/科研/院校,50-99人,https://www.liepin.com/job/1911166099.shtml,北京,30,42,36.0
87,python开发工程师,企,20-26万,北京,本科及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月04日,北京影谱传媒有限公司,广告/公关/市场推广/会展,50-99人,https://www.liepin.com/job/1911165337.shtml,北京,20,26,23.0
