,Unnamed: 0,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
132,133,高级Python开发,企,24-42万,北京,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年09月18日,有利网,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1910098956.shtml
0,1,Python开发工程师,企,12-18万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月01日,洋浦科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198936257.shtml
1,2,Python资深开发,企,面议,北京,本科及以上,4年工作经验,投递后：5个工作日内反馈,2017年11月09日,有缘网,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910824069.shtml
2,3,python开发工程师,企,面议,北京,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年11月06日,华胜信泰信息产业发展有限公司,计算机软件,100-499人,https://www.liepin.com/job/1910737148.shtml
3,4,python教学经理/python高级讲师,企,18-24万,北京,大专及以上,3年工作经验,投递后：10个工作日内反馈,2017年10月30日,北京华清远见科技发展有限公司,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910622629.shtml
4,5,Python后台开发师,企,35-50万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年10月20日,招才猫科技（北京）,教育/培训/学术/科研/院校,未知,https://www.liepin.com/job/1910554193.shtml
5,6,Python开发工程师-大数据方向,企,12-24万,北京,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年10月24日,北京高思博乐教育科技股份有限公司,教育/培训/学术/科研/院校,1000-2000人,https://www.liepin.com/job/1910460533.shtml
6,7,Python后端工程师,企,14-29万,北京,大专及以上,3年工作经验,投递后：2个工作日内反馈,2017年10月09日,复华投资有限公司,基金/证券/期货/投资,50-99人,https://www.liepin.com/job/1910415834.shtml
7,8,高级测试工程师（会Python或Java）,企,25-50万,北京,统招本科,5年工作经验,投递后：2个工作日内反馈,2017年09月30日,好未来教育,教育/培训/学术/科研/院校,5000-10000人,https://www.liepin.com/job/1910338314.shtml
8,9,Python服务端开发工程师,企,20-39万,北京,统招本科,3年工作经验,投递后：10个工作日内反馈,2017年09月25日,必连科技,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910265557.shtml
9,10,Python高级工程师,企,30-54万,北京,统招本科,5年工作经验,投递后：5个工作日内反馈,2017年10月26日,海天地数码科技,IT服务/系统集成,50-99人,https://www.liepin.com/job/1910264983.shtml
10,11,python开发,企,12-24万,北京,统招本科,2年工作经验,投递后：10个工作日内反馈,2017年09月24日,文思海辉,计算机软件,10000人以上,https://www.liepin.com/job/1910255574.shtml
11,12,Python开发岗,企,面议,深圳,大专及以上,3年工作经验,投递后：2个工作日内反馈,2017年11月01日,CMGE中手游,网络游戏,1000-2000人,https://www.liepin.com/job/1910115720.shtml
12,13,高级Python开发,企,24-42万,北京,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年09月18日,有利网,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1910098956.shtml
13,14,YF-测试开发工程师(Python Web开发)-01,企,11-18万,未知,统招本科,1年工作经验,投递后：10个工作日内反馈,2017年11月07日,海康威视,电子技术/半导体/集成电路,10000人以上,https://www.liepin.com/job/198638781.shtml
14,15,Python开发工程师,企,面议,北京-海淀区,统招本科,2年工作经验,投递后：1个工作日内反馈,2017年10月25日,泛测环境,环保,1-49人,https://www.liepin.com/job/197497262.shtml
